wind_speed;ACSA A27/225;ACSA A29/225;Adani 5.2-160;AWT Inc. AWT-26 / WC-86;AWP A/S AWP 90/18;AWP A/S AWP 200/23;Aeolia Windtech D2CF 200;aerodyn SCD 8.0/168;AERODAN 75/15;Alstom ECO 122/2700;AN Bonus 150/30;AN Bonus 450/37;AN Bonus 1000/54;AN Bonus 1300/62;Hummer H8.16-10KW;Hummer H13.2-20KW;Hummer H13.2-30KW;Hummer H17.0-50KW;Hummer H21.0-60KW;Hummer H21.0-100KW;Hummer H25.0-60KW;Hummer H25.0-100KW;Hummer H25.0-200KW;Aria Libellula 20;Aria Libellula 55 ;Aria Libellula 60i;ATB Riva Calzoni ATB 60.28 DD;ATB Riva Calzoni ATB 500.54;Aventa AV-7;b.ventus 250 kW;Baltic WindWerke BW 3200;Baltic WindWerke BW 3500;Baltic WindWerke BW 4500;Bergey BWC Excel 10;Bergey Excel 15;Bonus B23/150 Gittermast;Bonus B31/300;Bonus B35/450;Bonus B37/450;Bonus B41/600;Bonus B44/600;Bonus B54/1000;Bonus B62/1300;Bonus B76/2000;Bonus B82/2300;Braun Windturbinen ANTARIS 5.5kW;Braun Windturbinen ANTARIS 12.0kW;Cannon 26/250;Carter CWT 300;CENEMESA FL-19;CRRC CWT1500-D77;CRRC CWT1500-D83;CRRC CWT1500-D87;CRRC CWT1500-D93;CRRC CWT2000-D122;DWP D75/15;DWP D110/19;DWT Danish Wind Tech Windane 10;DWT Danish Wind Tech Windane 29;DWT Danish Wind Tech Windane 31;DWT Danish Wind Tech Windane 34 ;DWT Danish Wind Tech Windane 34 US;DWT Danish Wind Tech Windane 40;DANREGN Bonus 22;DANREGN Bonus 30;DANREGN Bonus 55;DANREGN Bonus 95;DANREGN Bonus 100;Danwin Danwin 23;DeWind D4 48/600;Dongfang G2000-116 / FD116-2000 geared;ecotècnia ECO 12/30;ecotècnia ECO 48/750;Enercon E-16;Enercon E-17;Enercon E-18;Enercon E-30 ;Enercon E-33 / 300;Enercon E-40/5.40;Enercon E-40/6.44;Enercon E-44;Enercon E-48;Enercon E-53;Enercon E-58/10.58;Enercon E-66/15.66;Enercon E-66/18.70;Enercon E-70 E4 2.300;Enercon E-82 E2 2.300;Enercon E-82 E2 2.000;Enercon E-82 E4 2.350;Enercon E-82 E4 3.000 ;Enercon E-92;Enercon E-101;Enercon E-101 E2 3.050;Enercon E-101 E2 3.500;Enercon E-112/45.114;Enercon E-115 2.500;Enercon E-115 EP3 3.000 prototype;Enercon E-115 3.000;Enercon E-126 EP4;Enercon E-126 7.58 EP8;Enercon E-141 EP4;Enercon E-175 EP5;eno energy eno 100;eno energy eno 114 3.5;eno energy eno 126 3.5;Enron 900s;FREEN 20 kW;Fuhrländer FL MD 77;Fuhrländer FL 2500/90;Fuhrländer FL 2500/100;Fuhrländer FL 2500/104;Fuhrländer LLC WTU2.0-93;Fuhrländer LLC WTU2.0-100;Fuhrländer LLC WTU3.0-120;Fuhrländer LLC WTU3.5-120;Fuhrländer LLC WTU4.5-151;FWT 93/2000;FWT 100/2000;FWT 100/2500;FWT 104/2500;FWT 120/3000;Gamesa G52;Gamesa G58;Gamesa G80;Gamesa G83;Gamesa G97;Gamesa G114-2.0MW;Gamesa G114-2.5MW;Gamesa G126-2.5MW;Gamesa G128-4.5MW;Gamesa G128-5.0MW;Gamesa G132-3.3MW;Gamesa G132-5.0MW;Garuda G 1700.84;GE Vernova GE 1.5s;GE Vernova GE 1.5sl;GE Vernova GE 1.6 - 100;GE Vernova GE 2.5 - 100;GE Vernova GE 2.5-103;GE Vernova GE 2.5 - 120;GE Vernova GE 2.75 - 103;GE Vernova GE 2.75 - 120;GE Vernova GE 3.2-130;GE Vernova GE 3.4-137;Greenstorm GS 21 S;WEG AGW 100;Halbes 1 kW;Halbes 2 kW;HEAG HW1-780;HEAG HW3/S2500(90);HEAG HW3/S2500(97);HEAG HW3/S2500(103);HEAG HW3/S2500(110);Iskra AT5-1;Jacobs Wind Electric 31-20;Krogmann 15-50;Kuriant KE 18/4EH;Lagerwey LW 52/750;Lagerwey LW 58/750;Lagerwey LW 72/2000;Leitwind LTW42 250;Leitwind LTW42 500;Leitwind LTW77 800;Leitwind LTW77 850;Leitwind LTW77 1000;Leitwind LTW77 1500;Leitwind LTW80 500;Leitwind LTW80 800;Leitwind LTW80 850;Leitwind LTW80 1000;Leitwind LTW80 1500;Leitwind LTW80 1650;Leitwind LTW80 1800;Leitwind LTW86 1000;Leitwind LTW86 1500;Leitwind LTW90 500;Leitwind LTW90 900;Leitwind LTW90 950;Leitwind LTW90 1000;Leitwind LTW90 1500;Leitwind LTW90 2000;Leitwind LTW101 2000;Leitwind LTW101 2500;Leitwind LTW101 3000;Leitwind LTW104 2000;Leitwind LTW104 2500;MAN Aeroman 11/11;Micon M 530;Micon M 700-225;Mitsubishi MWT-250C;Mitsubishi MWT-500;Multibrid M5000;NEG Micon NM 43/600;NEG Micon NM 44/750;NEG Micon NM 48/750;NEG Micon NM 52/900;NEG Micon NM 54/950;NEG Micon NM 60/1000;NEG Micon NM 72C/1500;NEG Micon NM 72/1650;NEG Micon NM 82/1500;NEG Micon NM 82/1650;Nordex N27/150;Nordex N27/250;Nordex N29;Nordex N43;Nordex N50;Nordex N52;Nordex N60;Nordex N62;Nordex N70;Nordex N77;Nordex N80 Alpha;Nordex N90 Beta;Nordex N90/2500;Nordex N100 Delta;Nordex N100 Gamma;Nordex N117 Delta;Nordex N117 Gamma;Nordex N117/3600 Delta;Nordex N131/3000 Delta;Nordex N131/3300 Delta;Nordex N131/3600 Delta;Nordtank NTK 150 ;Nordtank NTK 200;Nordtank NTK 400;NPS Northern Power NPS 60-24;NPS Northern Power NPS 100C-24;Norwin 24 STALL 150;Norwin 29 STALL 225;Norwin 47 ASR 500;PowerWind PW56;REpower 48/600;Ropatec 3kW;S&G Engineering SG2500.131 DD;S&G Engineering SG2700.100 DD;S&G Engineering SG2700.116 DD;Samsung 25s;SANY SE8220;SANY SE8720;SANY SE9315;SANY SE9320;SANY SE10015;SANY SE10020;SANY SE11520;SANY SE11525;SANY SE12120;SANY SE12125;SANY SE12130;SANY SE12520;SANY SE12525;SANY SE12725;SANY SE12730;SANY SE13122;SANY SE13125;SANY SE13625;SANY SE14525;Senvion 3.0M122;Senvion 3.2M114;Senvion 3.2M122;Senvion 3.4M114;Senvion 3.4M140;Senvion MM100;Siemens SWT-2.3-113;Siemens SWT-3.15-142;Siemens SWT-3.2-113;Siemens SWT-3.3-130;Siemens SWT-3.3-130 LN;Siemens SWT-3.6-120 Onshore;Siemens SWT-3.6-130;Siva 250/50;Südwind S-70;Südwind S-70 (special nacelle);Südwind S-77;superwind SW 350-II;Suzlon S 33-350;Suzlon S 60-1000;Suzlon S 62-1000;Suzlon S 64-950;Suzlon S 64-1000;Suzlon S 64-1250;Suzlon S 66-1250;Suzlon S 88-2100;Tacke TW 45;Tacke TW 80;Tacke TW 500;Tacke TW 600;Tellus T-1780;Wind Turbine Company WTC 100;TUGE 10 kW;TURBOWINDS T400-34;TURBOWINDS T600-48;Unison U54;USW U.S. Windpower 56-100;Vensys 77/1500;Vensys 82/1500;Vensys 100/2500;Vensys 109/2500;Vensys 112/2500;Vensys 120/3000;Venturicon 3.ZERO;Vergnet GEV HP 1000/62;Vergnet GEV MP C 200/30;Vergnet GEV MP C 200/32;Vergnet GEV MP R 275/32;Vergnet GEV MP C 275/30;Vestas V19-90;Vestas V20;Vestas V27;Vestas V27.1;Vestas V29;Vestas V39;Vestas V42;Vestas V44;Vestas V47;Vestas V52;Vestas V63;Vestas V66-1.65;Vestas V66-1.75;Vestas V80-1.8;Vestas V90;Vestas V90 Gridstreamer;Vestas V100-1.8;Vestas V112-3.0 Offshore;Vestas V112-3.075 Onshore;Vestas V112-3.3;Vestas V112-3.45;Vestas V117-3.3;Vestas V117-3.45;Vestas V126-3.0;Vestas V126-3.3;Vestas V126-3.45;Vestas V136-3.45;Vestas V164-8.0;Vind-Syssel VS130/22;W2E Wind to Energy W2E-93/2.0;W2E Wind to Energy W2E-100/2.0;W2E Wind to Energy W2E-100/2.5;W2E Wind to Energy W2E-110/2.5;W2E Wind to Energy W2E-120/3fc;W2E Wind to Energy W2E-120/3.5fc;W2E Wind to Energy W2E-120/3.2fc;W2E Wind to Energy W2E-138/3.0fc;W2E Wind to Energy W2E-145/3.0fc;W2E Wind to Energy W2E-151/4.5;W2E Wind to Energy W2E-151/4.8;W2E Wind to Energy W2E-155/4.5fc;W2E Wind to Energy W2E-165/5.2;W2E Wind to Energy W2E-171/8.0;W2E Wind to Energy W2E-172/5.5;W2E Wind to Energy W2E-185/6.0;W2E Wind to Energy W2E-215/9.0;WDRVM WD2.5-103;WES 18/80;WES 18/100;WES 20/50;WES 30/250;Wincon W755/48;WEG Wind EnergyGroup WEG MS-3;WESPA 200/29;WESPA 200/31;WESPA 500/47;WESPA 750/47;Wind World (India) ww-53;Wind World W2700;Windflow 45-500;Windflow 33-500;WindMaster / HMZ WM 300/25;WindMaster / HMZ WM 600 VS45;Windspot 7.5Kw;WinWinD WWD-1 D56;WinWinD WWD-1 D60;WinWinD WWD-1 D64
11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.53;;;;;;;;;;;;;;;;;;;;;;;0.813;;0.79;;0.39;0.61;0.51;0.61;;0.49;;0.49;;0.47;;;0.62;;0.57;;;;;;;0.54;0.44;0.57;0.54;0.45;;;;;0.47;0.32;0.42;0.55;0.58;0.6;0.55;0.6;;;;0.35;;0.53;0.38;0.53;0.41;0.42;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;0.66;0.56;0.48;0.36;0.624;0.36;0.41;0.458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.44;;0.47;0.54;0.27;0.45;0.38;0.371;0.54;0.3;0.572;0.61;0.628;;;;;;;;;;;;;;;;;;;;;;;;;;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;0.54;0.39;0.57;0.56;0.59;0.627;0.56;0.58;0.42;0.47;0.489;;;;0.542;0.439;0.571;;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;;0.53
12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.46;;;;;;;;;;;;;;;;;;;;;;;0.497;;0.77;;0.29;0.46;0.37;0.46;;0.36;;0.36;0.52;0.34;;;0.42;;0.4;;;;;;;0.39;0.32;0.4;0.39;0.33;;;;;0.35;0.24;0.31;0.4;0.45;0.49;0.4;0.48;;;;0.26;;0.41;0.28;0.43;0.32;0.32;0.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.51;0.5;0.4;0.35;0.27;0.443;0.27;0.3;0.338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.32;;0.36;0.42;0.21;0.34;0.29;0.274;0.39;0.24;0.399;0.42;0.434;;;;;;;;;;;;;;;;;;;;;;;;;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;;0.41;0.29;0.41;0.41;0.45;0.469;0.4;0.421;0.31;0.34;0.356;;;;0.389;0.323;0.404;;0.331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.57;;0.46
13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;;;;;;0.371;;0.49;;0.23;0.35;0.28;0.35;;0.27;;0.28;0.32;0.26;;;0.32;;0.31;;;;;;;0.3;0.25;0.31;0.3;0.25;;;;;0.27;0.19;0.24;0.3;0.35;0.38;0.3;0.37;;;;0.2;;0.32;0.22;0.34;0.25;0.25;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.38;0.38;0.31;0.27;0.21;0.333;0.21;0.24;0.261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;0.27;0.32;0.16;0.25;0.22;0.212;0.3;0.19;0.302;0.32;0.327;;;;;;;;;;;;;;;;;;;;;;;;;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;;0.31;0.22;0.31;0.31;0.34;0.351;0.3;0.316;0.24;0.26;0.271;;;;0.297;0.249;0.307;;0.255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.41;;0.4
14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.33;;;;;;;;;;;;;;;;;;;;;;;0.289;;0.38;;0.18;0.27;0.22;0.27;;0.22;;0.22;0.25;0.21;;;0.25;;0.24;;;;;;;0.23;0.2;0.24;0.24;0.2;;;;;0.21;0.15;0.19;0.24;0.27;0.3;0.24;0.29;;;;0.16;;0.25;0.18;0.27;0.19;0.2;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.29;0.3;0.24;0.21;0.17;0.261;0.17;0.19;0.207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;0.21;0.25;0.13;0.2;0.18;0.168;0.24;0.15;0.236;0.25;0.255;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;0.18;0.24;0.24;0.26;0.275;0.24;0.249;0.19;0.21;0.215;;;;0.234;0.198;0.242;;0.202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.32;;0.33
15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.28;;;;;;;;;;;;;;;;;;;;;;;0.231;;0.3;;0.15;0.22;0.18;0.22;;0.18;;0.18;0.19;0.17;;;0.2;;0.2;;;;;;;0.19;0.16;0.2;0.19;0.16;;;;;0.17;0.12;0.16;0.19;0.22;0.24;0.19;0.23;;;;0.13;;0.2;0.14;0.22;0.16;0.16;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.23;0.24;0.19;0.17;0.14;0.21;0.13;0.15;0.169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.16;;0.17;0.2;0.11;0.16;0.14;0.137;0.19;0.12;0.19;0.2;0.204;;;;;;;;;;;;;;;;;;;;;;;;;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.14;0.19;0.19;0.21;0.219;0.19;0.199;0.15;0.17;0.173;;;;0.189;0.161;0.196;;0.164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;0.28
16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.23;;;;;;;;;;;;;;;;;;;;;;;0.189;;0.24;;0.12;0.18;0.15;0.18;;0.15;;0.15;0.16;0.14;;;0.16;;0.16;;;;;;;0.16;0.13;0.16;0.16;0.14;;;;;0.14;0.1;0.13;0.16;0.18;0.2;0.16;0.19;;;;0.11;;0.16;0.12;0.18;0.13;0.13;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.19;0.2;0.16;0.14;0.11;0.173;0.11;0.13;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.13;;0.14;0.16;0.09;0.13;0.12;0.113;0.16;0.1;0.155;0.17;0.167;;;;;;;;;;;;;;;;;;;;;;;;;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;0.16;0.12;0.16;0.16;0.17;0.18;0.16;0.164;0.13;0.14;0.143;;;;0.156;0.133;0.161;;0.135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;;0.23
17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;0.157;;0.2;;0.1;0.15;0.12;0.15;;0.12;;0.12;0.14;0.12;;;0.14;;0.14;;;;;;;0.13;0.11;0.14;0.13;0.11;;;;;0.12;0.09;0.11;0.13;0.15;0.16;0.13;0.16;;;;0.09;;0.13;0.1;0.15;0.11;0.11;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.16;0.17;0.13;0.12;0.1;0.145;0.09;0.11;0.117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.11;;0.12;0.14;0.07;0.11;0.1;0.095;0.13;0.08;0.129;0.14;0.138;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;0.13;0.1;0.13;0.13;0.14;0.15;0.13;0.137;0.11;0.12;0.12;;;;0.131;0.111;0.135;;0.113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.17;;0.2
18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;0.134;;0.17;;0.09;0.13;0.11;0.13;;0.1;;0.1;0.12;0.1;;;0.12;;0.11;;;;;;;0.11;0.1;0.11;0.11;0.1;;;;;0.1;0.07;0.09;0.11;0.13;0.14;0.11;0.13;;;;0.08;;0.11;0.08;0.12;0.09;0.09;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.14;0.14;0.11;0.1;0.08;0.122;0.08;0.09;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.09;;0.1;0.12;0.06;0.09;0.09;0.081;0.11;0.07;0.109;0.12;0.117;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;0.11;0.08;0.11;0.11;0.12;0.127;0.11;0.115;0.09;0.1;0.102;;;;0.111;0.095;0.114;;0.096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.14;;0.16
19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.13;;;;;;;;;;;;;;;;;;;;;;;0.115;;0.14;;0.08;0.11;0.09;0.11;;0.09;;0.09;0.1;0.09;;;0.1;;0.1;;;;;;;0.1;0.08;0.1;0.1;0.08;;;;;0.09;0.06;0.08;0.09;0.11;0.11;0.09;0.11;;;;0.07;;0.1;0.07;0.1;0.08;0.08;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;0.1;0.09;0.07;0.105;0.07;0.08;0.086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;;0.09;0.1;0.05;0.08;0.07;0.07;0.1;0.06;0.093;0.1;0.099;;;;;;;;;;;;;;;;;;;;;;;;;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.07;0.1;0.1;0.1;0.108;0.09;0.098;0.08;0.08;0.087;;;;0.095;0.081;0.098;;0.083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;0.13
20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.101;;0.12;;0.07;0.09;0.08;0.09;;0.08;;0.08;;0.07;;;0.09;;0.09;;;;;;;0.08;0.07;0.09;0.09;0.07;;;;;0.07;0.06;0.07;0.08;0.09;0.1;0.08;0.1;;;;0.06;;0.08;0.06;0.09;0.07;0.07;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.11;0.09;0.08;0.06;0.091;0.06;0.07;0.075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;;0.08;0.09;0.05;0.07;0.07;0.061;0.08;0.05;0.08;0.09;0.085;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;0.06;0.08;0.08;0.09;0.093;0.08;0.085;0.07;0.07;0.076;;;;0.082;0.071;0.085;;0.072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.11;;0.12
21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.089;;0.11;;0.06;0.08;0.07;0.08;;0.07;;0.07;0.08;0.06;;;0.08;;0.07;;;;;;;0.07;0.06;0.07;0.08;0.06;;;;;0.06;0.05;0.06;0.06;0.07;0.08;0.06;0.08;;;;0.05;;0.07;;0.08;0.06;0.06;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.09;0.09;0.07;0.07;;0.079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;;0.07;0.08;0.04;0.06;0.06;0.053;0.07;0.04;0.069;0.08;0.074;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;;0.07;0.07;0.08;0.081;0.07;0.074;0.06;0.06;0.066;;;;0.072;0.062;0.074;;0.063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.09;;
22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.079;;0.1;;0.06;0.07;0.06;0.07;;0.06;;0.06;;0.06;;;0.06;;0.07;;;;;;;0.06;0.06;0.07;0.07;0.06;;;;;0.06;0.04;0.05;0.05;0.06;0.07;0.05;0.07;;;;0.04;;0.06;;0.07;0.05;0.05;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;0.08;0.07;0.06;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;0.06;0.07;0.03;0.05;0.05;0.047;0.06;0.04;0.061;0.07;0.065;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;;0.06;0.06;0.07;0.072;0.06;0.066;0.05;0.06;0.059;;;;0.064;0.055;0.066;;0.055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;;
23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.071;;0.08;;0.05;0.06;0.06;0.06;;0.05;;0.05;0.06;0.05;;;0.05;;0.06;;;;;;;0.06;0.05;0.06;0.06;0.05;;;;;0.05;0.03;0.04;0.05;0.05;0.06;0.05;0.06;;;;0.04;;0.06;;0.06;0.05;0.05;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;0.07;0.06;0.05;;0.062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.042;;0.03;0.053;0.06;0.057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;;0.06;0.06;0.06;0.064;0.05;0.058;;;;;;;0.056;0.049;0.058;;0.049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;;
24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.064;;0.08;;0.05;0.06;0.05;0.06;;0.05;;0.05;;0.04;;;0.04;;0.05;;;;;;;0.05;0.04;0.05;0.05;0.04;;;;;0.04;0.03;0.04;0.04;0.04;0.05;0.04;0.05;;;;0.04;;0.05;;0.05;0.04;0.04;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;0.07;0.05;0.05;;0.055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;0.03;0.047;0.05;0.051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;0.05;0.05;0.05;0.057;0.05;0.052;;;;;;;0.05;0.044;0.052;;0.044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;;
25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.058;;0.07;;0.04;0.05;0.05;0.05;;0.04;;0.04;0.05;0.04;;;0.03;;0.05;;;;;;;0.05;0.04;0.05;0.05;0.04;;;;;0.03;0.02;0.03;0.03;0.04;0.04;0.03;0.04;;;;0.03;;0.04;;0.05;0.04;0.04;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;0.05;0.05;0.04;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;0.03;0.043;0.05;0.046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;0.05;0.05;0.05;0.051;0.04;0.046;;;;;;;0.045;0.039;0.047;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;;
4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
